model,fs_method,k,accuracy
knn,em,89,0.5912655971479501
lr,em,89,0.6449197860962567
nb,em,90,0.42032085561497323
rf,em,90,0.6686274509803922
knn,em,90,0.5973262032085562
lr,em,90,0.6449197860962567
nb,em,91,0.42032085561497323
rf,em,91,0.6390374331550802
knn,em,91,0.6149732620320856
lr,em,91,0.6388591800356507
nb,em,92,0.43208556149732613
rf,em,92,0.6746880570409983
knn,em,92,0.6033868092691622
lr,em,92,0.6388591800356507
nb,em,93,0.42014260249554364
rf,em,93,0.6570409982174688
knn,em,93,0.6033868092691622
lr,em,93,0.6388591800356507
nb,em,94,0.42014260249554364
rf,em,94,0.6506238859180036
knn,em,94,0.6149732620320856
lr,em,94,0.6508021390374331
nb,em,95,0.4142602495543672
rf,em,95,0.6627450980392158
knn,em,95,0.6149732620320856
lr,em,95,0.6508021390374331
nb,em,96,0.42032085561497323
rf,em,96,0.6631016042780751
knn,em,96,0.5857397504456328
lr,em,96,0.6566844919786097
nb,em,97,0.4322638146167558
rf,em,97,0.6509803921568628
knn,em,97,0.5859180035650623
lr,em,97,0.6566844919786097
nb,em,98,0.42638146167557933
rf,em,98,0.6686274509803921
knn,em,98,0.5859180035650623
lr,em,98,0.6566844919786097
nb,em,99,0.42638146167557933
rf,em,99,0.6452762923351159
knn,em,99,0.5800356506238858
lr,em,99,0.6508021390374332
nb,em,100,0.4085561497326203
rf,em,100,0.6688057040998219
knn,em,100,0.5800356506238858
lr,em,100,0.6508021390374332
nb,em,101,0.4144385026737968
rf,em,101,0.6568627450980392
knn,em,101,0.597860962566845
lr,em,101,0.6566844919786097
