model,fs_method,k,accuracy,fmeasure,precision,recall,roc
nb,nofs,30,0.927930445582984,0.9277690434964605,0.9294208711575942,0.927930445582984,0.9839225707388171
rf,nofs,30,0.9560937742586555,0.956030170166495,0.9567576679105192,0.9560937742586555,0.9899142161322804
knn,nofs,30,0.9648501785437045,0.9646649764557964,0.965857581910264,0.9648501785437045,0.9915244264900341
lr,nofs,30,0.9806862288464524,0.980615642041738,0.9810393221000249,0.9806862288464524,0.9953183788345923
gb,nofs,30,0.9596180717279925,0.959515352651642,0.9602474357455696,0.9596180717279925,0.9911091874242874
ab,nofs,30,0.9613414066138798,0.9612138540082885,0.9615378175412592,0.9613414066138798,0.9897237646377837
nb,lrs,1,0.7257568700512343,0.7143728353851134,0.7300709869809288,0.7257568700512343,0.7831394698943012
rf,lrs,1,0.6238782797702219,0.623969475765791,0.6276138588966257,0.6238782797702219,0.6840817948171372
knn,lrs,1,0.6888681881695389,0.6869395926233907,0.6927133686859742,0.6888681881695389,0.7251676727028841
lr,lrs,1,0.7275112560161465,0.7168883278368077,0.7325012129778747,0.7275112560161465,0.7831394698943012
gb,lrs,1,0.6941158205247632,0.6883388021660173,0.6938213001551283,0.6941158205247632,0.7344666729923036
ab,lrs,1,0.6976401179941003,0.6897054235397521,0.7114484540471997,0.6976401179941003,0.7722634363458962
nb,tree,1,0.9104021114733737,0.9098583281895417,0.9124308711212787,0.9104021114733737,0.9632408143954164
rf,tree,1,0.8558919422449929,0.8553291058003131,0.8577331044059212,0.8558919422449929,0.92196749619162
knn,tree,1,0.9050923769600994,0.9051466719551999,0.9075383261000523,0.9050923769600994,0.9294107236008644
lr,tree,1,0.9086477255084615,0.9081338754876453,0.9105080072815175,0.9086477255084615,0.9633718330655767
gb,tree,1,0.8717124670082285,0.8708993006701942,0.8734458795862275,0.8717124670082285,0.9491577912782466
ab,tree,1,0.9050768514205869,0.9052922262330313,0.907475871108357,0.9050768514205869,0.9578751795874298
nb,rfe,1,0.9139264089427108,0.9122463394049138,0.9173746800532028,0.9139264089427108,0.9765865975352547
rf,rfe,1,0.8875019406924389,0.8873237465240189,0.892025555063082,0.8875019406924389,0.9567804436437749
knn,rfe,1,0.9051079024996118,0.9043005086800399,0.9063269854200019,0.9051079024996118,0.9623812318354572
lr,rfe,1,0.9174507064120478,0.9161963845009147,0.9205190281759437,0.9174507064120478,0.9769796535457361
gb,rfe,1,0.8927806241266885,0.8924005713882697,0.8955234112643868,0.8927806241266885,0.9649347527889127
ab,rfe,1,0.9033535165346995,0.9018013842756583,0.9084677489603322,0.9033535165346995,0.9720043885188824
nb,em,1,0.9104021114733737,0.9098583281895417,0.9124308711212787,0.9104021114733737,0.9632408143954164
rf,em,1,0.8558919422449929,0.8553291058003131,0.8577331044059212,0.8558919422449929,0.9268332757093811
knn,em,1,0.9050923769600994,0.9051466719551999,0.9075383261000523,0.9050923769600994,0.9294107236008644
lr,em,1,0.9086477255084615,0.9081338754876453,0.9105080072815175,0.9086477255084615,0.9633718330655767
gb,em,1,0.8717124670082285,0.8708993006701942,0.8734458795862275,0.8717124670082285,0.9491577912782466
ab,em,1,0.9050768514205869,0.9052922262330313,0.907475871108357,0.9050768514205869,0.9578751795874298
nb,rfc,1,0.9139264089427108,0.9122463394049138,0.9173746800532028,0.9139264089427108,0.9765865975352547
rf,rfc,1,0.8892718521968638,0.8890490647775474,0.893213219549294,0.8892718521968638,0.9597948370671923
knn,rfc,1,0.9051079024996118,0.9043005086800399,0.9063269854200019,0.9051079024996118,0.9623812318354572
lr,rfc,1,0.9174507064120478,0.9161963845009147,0.9205190281759437,0.9174507064120478,0.9769796535457361
gb,rfc,1,0.8927806241266885,0.8924005713882697,0.8955234112643868,0.8927806241266885,0.9649347527889127
ab,rfc,1,0.9033535165346995,0.9018013842756583,0.9084677489603322,0.9033535165346995,0.9720043885188824
nb,muin,1,0.9139264089427108,0.9122463394049138,0.9173746800532028,0.9139264089427108,0.9765865975352547
rf,muin,1,0.8857630802670393,0.8853538677086377,0.8895490478588066,0.8857630802670393,0.9594415654131507
knn,muin,1,0.9051079024996118,0.9043005086800399,0.9063269854200019,0.9051079024996118,0.9623812318354572
lr,muin,1,0.9174507064120478,0.9161963845009147,0.9205190281759437,0.9174507064120478,0.9769796535457361
gb,muin,1,0.8927806241266885,0.8924005713882697,0.8955234112643868,0.8927806241266885,0.9649347527889127
ab,muin,1,0.9033535165346995,0.9018013842756583,0.9084677489603322,0.9033535165346995,0.9720043885188824
nb,emm,1,0.9121720229777985,0.9098619888791413,0.9169403689690732,0.9121720229777985,0.9699452204181158
rf,emm,1,0.8840397453811519,0.882876616081983,0.8859905172657235,0.8840397453811519,0.9344228376287008
knn,emm,1,0.9016457071883248,0.9005315794252008,0.9031879731682988,0.9016457071883248,0.938083572494398
lr,emm,1,0.9138953578636857,0.9123112367179603,0.9173711751521021,0.9138953578636857,0.9706658231039986
gb,emm,1,0.8875640428504891,0.8862821747542904,0.8896295786004306,0.8875640428504891,0.9531643023515771
ab,emm,1,0.9226983387672721,0.921408015740559,0.9252649042642653,0.9226983387672721,0.9652076325307574
nb,lrs,2,0.8365626455519328,0.8318331729339542,0.843275274735648,0.8365626455519328,0.909290930769804
rf,lrs,2,0.815401335196398,0.8119398412509424,0.8172561136336718,0.815401335196398,0.8974818766171534
knn,lrs,2,0.8347461574289706,0.8324870635210371,0.8365991529775046,0.8347461574289706,0.8786978221612187
lr,lrs,2,0.8523210681571184,0.8498772310340955,0.8573920685503926,0.8523210681571184,0.9185452941594441
gb,lrs,2,0.8206489675516224,0.8175529745949038,0.8241917683782388,0.8206489675516224,0.9076719685035277
ab,lrs,2,0.8436267660301195,0.8398499747820676,0.8504890900236385,0.8436267660301195,0.917650552323415
nb,tree,2,0.9156652693681104,0.9138323575539733,0.9195683727448982,0.9156652693681104,0.9697577367737866
rf,tree,2,0.8963359726750506,0.895125541665983,0.8970502240470463,0.8963359726750506,0.9403153308308074
knn,tree,2,0.8998913212234125,0.8984659586555119,0.902289400009926,0.8998913212234125,0.9363826044120017
lr,tree,2,0.9086321999689488,0.9069292196609222,0.9120687388995272,0.9086321999689488,0.9714587915087425
gb,tree,2,0.8805309734513275,0.8797605379492166,0.8823389084280944,0.8805309734513275,0.9551442158549921
ab,tree,2,0.9174351808725353,0.9159143625696735,0.9202835458903186,0.9174351808725353,0.9619792722744738
nb,rfe,2,0.9384722869119703,0.9385965172724656,0.9392887136623079,0.9384722869119703,0.9840434293963609
rf,rfe,2,0.924468250271697,0.9242988832609058,0.9250966341682224,0.924468250271697,0.9763040343698712
knn,rfe,2,0.9297314081664337,0.9292697529546929,0.929797758656215,0.9297314081664337,0.9696522156192972
lr,rfe,2,0.9419810588417947,0.9420120912744891,0.9428869269869166,0.9419810588417947,0.9853589452303833
gb,rfe,2,0.9279149200434714,0.9277050909085686,0.929181570242865,0.9279149200434714,0.9818103821031269
ab,rfe,2,0.9385033379909953,0.9384056611389324,0.9388323262748377,0.9385033379909953,0.9817074930201365
nb,em,2,0.9209284272628473,0.9205456397779015,0.9217169986221341,0.9209284272628473,0.9845910085838024
rf,em,2,0.9279614966620089,0.9277061786193486,0.9290024251923141,0.9279614966620089,0.974295373879799
knn,em,2,0.9279614966620089,0.927873838769003,0.9286740029863022,0.9279614966620089,0.9701584507042256
lr,em,2,0.9279614966620089,0.9275387320885671,0.92903758644029,0.9279614966620089,0.9858344078250727
gb,em,2,0.9208973761838225,0.9207569765158606,0.9217594830568816,0.9208973761838225,0.9758128551671789
ab,em,2,0.934979040521658,0.9347732973039833,0.9359413984952907,0.934979040521658,0.9806844404064352
nb,rfc,2,0.9156652693681104,0.9141333052476218,0.9198846398919407,0.9156652693681104,0.9741123095160107
rf,rfc,2,0.9103865859338611,0.9095656524690643,0.9121688286023355,0.9103865859338611,0.9549902559196697
knn,rfc,2,0.9086321999689488,0.9077958350621603,0.9106895490245952,0.9086321999689488,0.9597914034595169
lr,rfc,2,0.9086321999689488,0.9074840203075963,0.9125853375402903,0.9086321999689488,0.975162950138384
gb,rfc,2,0.8962893960565129,0.8953674261986698,0.8980660408786136,0.8962893960565129,0.9649325323170721
ab,rfc,2,0.9156963204471357,0.91383181870257,0.919653526812073,0.9156963204471357,0.9734026467157815
nb,muin,2,0.9192206179164726,0.9174124480539104,0.9230996288099007,0.9192206179164726,0.9741148007771001
rf,muin,2,0.8927961496662009,0.8915208775645102,0.894191742250843,0.8927961496662009,0.9591292370935346
knn,muin,2,0.903369042074212,0.902766892316605,0.9052479176462664,0.903369042074212,0.95871112766175
lr,muin,2,0.912156497438286,0.9111500149349954,0.9153746639362241,0.912156497438286,0.9757600296005144
gb,muin,2,0.8998447446048751,0.8985742035341555,0.9030275939049108,0.8998447446048751,0.9673485898162445
ab,muin,2,0.9192050923769601,0.9175856131051836,0.9225701490697114,0.9192050923769601,0.9715299874180484
nb,emm,2,0.9209284272628473,0.9205456397779015,0.9217169986221341,0.9209284272628473,0.9845910085838024
rf,emm,2,0.9244527247321844,0.9243374468909431,0.9256912958100217,0.9244527247321844,0.9744558219255237
knn,emm,2,0.9279614966620089,0.927873838769003,0.9286740029863022,0.9279614966620089,0.9701584507042256
lr,emm,2,0.9279614966620089,0.9275387320885671,0.92903758644029,0.9279614966620089,0.9858344078250727
gb,emm,2,0.9208973761838225,0.9207569765158606,0.9217594830568816,0.9208973761838225,0.9758128551671789
ab,emm,2,0.934979040521658,0.9347732973039833,0.9359413984952907,0.934979040521658,0.9806844404064352
nb,lrs,3,0.9156963204471354,0.9136075806052929,0.9204199169760159,0.9156963204471354,0.98043508683453
rf,lrs,3,0.9244216736531594,0.9235221557814866,0.9264822887040406,0.9244216736531594,0.9773437026118813
knn,lrs,3,0.9209284272628475,0.9200513084425908,0.9247469490452099,0.9209284272628475,0.9672463506274511
lr,lrs,3,0.9349635149821456,0.9342987491639223,0.9374844564802354,0.9349635149821456,0.9856265499976604
gb,lrs,3,0.9262071106970966,0.9254645002926098,0.9298136647983979,0.9262071106970966,0.9750682063959989
ab,lrs,3,0.9244216736531594,0.923379311591939,0.9300430053162769,0.9244216736531594,0.9826087554612777
nb,tree,3,0.9455208818506444,0.9454008375651138,0.94761218903254,0.9455208818506444,0.9835980785661427
rf,tree,3,0.9402577239559073,0.9402557305593968,0.9410448365339745,0.9402577239559073,0.980492710786684
knn,tree,3,0.9455364073901569,0.9455611044983607,0.9462265910709424,0.9455364073901569,0.9728664515083609
lr,tree,3,0.9490296537804689,0.9489157913328968,0.9500682281817114,0.9490296537804689,0.9877376879710649
gb,tree,3,0.9385033379909953,0.938380727118127,0.9393340466099172,0.9385033379909953,0.9841242762344956
ab,tree,3,0.9490607048594939,0.9490379535545227,0.9502698707908273,0.9490607048594939,0.9851673564210414
nb,rfe,3,0.9420121099208197,0.942125683315982,0.9430010573583878,0.9420121099208197,0.9864252483029097
rf,rfe,3,0.934979040521658,0.9347965562160077,0.9355679176854709,0.934979040521658,0.9794434457736948
knn,rfe,3,0.9367489520260829,0.9363993278728907,0.9369250039936485,0.9367489520260829,0.9694014864380079
lr,rfe,3,0.9472752678155565,0.9472567620283353,0.9480531657734934,0.9472752678155565,0.9866074136463917
gb,rfe,3,0.9279459711224964,0.9279515278570166,0.9291560591810628,0.9279459711224964,0.9814885328335213
ab,rfe,3,0.9437820214252446,0.9436586870358564,0.9443525699909919,0.9437820214252446,0.9804728023611089
nb,em,3,0.9402421984163949,0.940092578253188,0.9414911367502778,0.9402421984163949,0.983855111721145
rf,em,3,0.933224654556746,0.9330640528220506,0.9340214269906507,0.933224654556746,0.979296775484951
knn,em,3,0.9455364073901569,0.9455611044983607,0.9462265910709424,0.9455364073901569,0.9710779101828889
lr,em,3,0.947259742276044,0.9471836866615082,0.9480777894836724,0.947259742276044,0.9878699414402001
gb,em,3,0.9385033379909953,0.9383192153217402,0.9400345162806902,0.9385033379909953,0.980342141132757
ab,em,3,0.9437820214252446,0.9437250025310073,0.9447883034039768,0.9437820214252446,0.9846453397386904
nb,rfc,3,0.9420121099208197,0.942125683315982,0.9430010573583878,0.9420121099208197,0.9864252483029097
rf,rfc,3,0.9384878124514826,0.9382646335043285,0.9395968410027239,0.9384878124514826,0.9805795258198631
knn,rfc,3,0.9367489520260829,0.9363993278728907,0.9369250039936485,0.9367489520260829,0.9694014864380079
lr,rfc,3,0.9472752678155565,0.9472567620283353,0.9480531657734934,0.9472752678155565,0.9866074136463917
gb,rfc,3,0.9279459711224964,0.9279515278570166,0.9291560591810628,0.9279459711224964,0.9813575141633608
ab,rfc,3,0.9437820214252446,0.9436586870358564,0.9443525699909919,0.9437820214252446,0.9804728023611089
nb,muin,3,0.9174351808725353,0.916015375754119,0.9209958742122399,0.9174351808725353,0.9730616472304975
rf,muin,3,0.9015836050302749,0.9002544760611606,0.9030263996399832,0.9015836050302749,0.9611198738512037
knn,muin,3,0.9068778140040367,0.9059513200171849,0.9086318592003924,0.9068778140040367,0.9566265053715922
lr,muin,3,0.9121409718987733,0.9111369937686193,0.9155917300979516,0.9121409718987733,0.9749009127980631
gb,muin,3,0.8980748331004502,0.896910340508209,0.8991677569334857,0.8980748331004502,0.9668488861679986
ab,muin,3,0.9192050923769601,0.9177275574892301,0.9223424263984373,0.9192050923769601,0.9711041550768869
nb,emm,3,0.9402421984163949,0.940092578253188,0.9414911367502778,0.9402421984163949,0.983855111721145
rf,emm,3,0.9367644775655954,0.9366901847192027,0.9378962753351207,0.9367644775655954,0.9828040486675438
knn,emm,3,0.9455364073901569,0.9455611044983607,0.9462265910709424,0.9455364073901569,0.9710779101828889
lr,emm,3,0.947259742276044,0.9471836866615082,0.9480777894836724,0.947259742276044,0.9878699414402001
gb,emm,3,0.9367489520260829,0.9365857578607285,0.9383531100136306,0.9367489520260829,0.98116100782126
ab,emm,3,0.9437820214252446,0.9437250025310073,0.9447883034039768,0.9437820214252446,0.9846453397386904
nb,lrs,4,0.8981214097189877,0.8952495823559083,0.9039953682044283,0.8981214097189877,0.9737870591334398
rf,lrs,4,0.9297314081664337,0.9290298411521807,0.9307203758343716,0.9297314081664337,0.9723967621404569
knn,lrs,4,0.9138953578636858,0.9127528602520354,0.9186691068422933,0.9138953578636858,0.9667238248613126
lr,lrs,4,0.9349635149821456,0.9342987491639223,0.9374844564802354,0.9349635149821456,0.985626874944759
gb,lrs,4,0.92094395280236,0.9203720117427825,0.9229389594126353,0.92094395280236,0.9767874690000469
ab,lrs,4,0.9314702685918336,0.9305084578131929,0.9356831016395329,0.9314702685918336,0.9805660513468407
nb,tree,4,0.9455364073901569,0.9455437380988767,0.9469717544155722,0.9455364073901569,0.9856993598108895
rf,tree,4,0.9402732494954199,0.9400262156948722,0.9409681792077091,0.9402732494954199,0.9795430962172691
knn,tree,4,0.935010091600683,0.9346183789623176,0.9361860260569628,0.935010091600683,0.9727186222416323
lr,tree,4,0.9490451793199813,0.9490017608641195,0.9500871303633807,0.9490451793199813,0.9872079592109072
gb,tree,4,0.9279614966620089,0.9277154334536505,0.9291712984020993,0.9279614966620089,0.9791504626380159
ab,tree,4,0.9402732494954199,0.9401250895042219,0.9409210796881007,0.9402732494954199,0.9825209872499425
nb,rfe,4,0.943766495885732,0.943753293868807,0.9450683376179793,0.943766495885732,0.9862973924511756
rf,rfe,4,0.9420431609998448,0.9418743171602761,0.9428571844641152,0.9420431609998448,0.9808530121296254
knn,rfe,4,0.9367644775655954,0.936526650318355,0.9378818545732175,0.9367644775655954,0.9764740358602954
lr,rfe,4,0.9455208818506444,0.945396979102437,0.946733051349014,0.9455208818506444,0.9876019467364046
gb,rfe,4,0.9367489520260831,0.9365672344274414,0.9376833611919186,0.9367489520260831,0.9841816618921106
ab,rfe,4,0.9473063188945815,0.9472263624503015,0.9478999930122832,0.9473063188945815,0.9832464424791644
nb,em,4,0.935010091600683,0.9347920837200011,0.9365908374130486,0.935010091600683,0.9768227365918161
rf,em,4,0.9437820214252446,0.9436056821069545,0.9448801841578994,0.9437820214252446,0.9847149325756434
knn,em,4,0.9402887750349326,0.9404278218467172,0.9418830237377718,0.9402887750349326,0.9772629424263062
lr,em,4,0.9419965843813072,0.94188881129213,0.943044584171893,0.9419965843813072,0.9866863757913545
gb,em,4,0.9385033379909953,0.9383533126814101,0.9403773787713231,0.9385033379909953,0.9814108054875332
ab,em,4,0.9490451793199813,0.9489543311631309,0.9499575545178184,0.9490451793199813,0.9851703675974883
nb,rfc,4,0.9402421984163949,0.9399991769184508,0.9412129266184003,0.9402421984163949,0.98648605673663
rf,rfc,4,0.935010091600683,0.9347699423948523,0.937004554702542,0.935010091600683,0.9821023579028001
knn,rfc,4,0.9349945660611706,0.9345270791628068,0.9352130672800099,0.9349945660611706,0.9740066583826821
lr,rfc,4,0.9472752678155565,0.9472567620283353,0.9480531657734934,0.9472752678155565,0.9876006902742901
gb,rfc,4,0.9367489520260829,0.936610398079164,0.9379026595235972,0.9367489520260829,0.9808674397808037
ab,rfc,4,0.9455519329296693,0.9454509666189452,0.9461350723292895,0.9455519329296693,0.9802850370959607
nb,muin,4,0.9367489520260829,0.9363551936896066,0.9376151158329067,0.9367489520260829,0.9846511237970457
rf,muin,4,0.9279614966620089,0.9275400156090976,0.9285932544170107,0.9279614966620089,0.9752630555078966
knn,muin,4,0.9349945660611706,0.9349087743246585,0.9356017837249325,0.9349945660611706,0.9674498216690323
lr,muin,4,0.9367489520260829,0.9364708822386018,0.9376848132553306,0.9367489520260829,0.9855090274636623
gb,muin,4,0.9191895668374475,0.9187434117963219,0.9196782315641963,0.9191895668374475,0.9773851225353845
ab,muin,4,0.9332401800962584,0.9330647367524753,0.9337015459066258,0.9332401800962584,0.9800936865811579
nb,emm,4,0.9297314081664337,0.9292936481456996,0.9306547805440998,0.9297314081664337,0.9788208363011834
rf,emm,4,0.94027324949542,0.9402283472389822,0.9411937386190219,0.94027324949542,0.9826712644514807
knn,emm,4,0.9385033379909953,0.9385034647980897,0.9391478932240561,0.9385033379909953,0.9707094418362023
lr,emm,4,0.9332401800962584,0.932826192461917,0.9344374907672532,0.9332401800962584,0.9849300800496346
gb,emm,4,0.9367644775655954,0.936658315342911,0.9372314845779629,0.9367644775655954,0.9774555602347939
ab,emm,4,0.9420431609998448,0.9418300893904821,0.9430482003715268,0.9420431609998448,0.9829320778243968
nb,lrs,5,0.9121720229777985,0.9100537302929841,0.9166005838590984,0.9121720229777985,0.9772191720521232
rf,lrs,5,0.9244527247321844,0.9236968420734669,0.9259877501650546,0.9244527247321844,0.9700028876965495
knn,lrs,5,0.9191429902189101,0.9181954219506403,0.9239151038574352,0.9191429902189101,0.9640578505485975
lr,lrs,5,0.9384878124514827,0.9378168582440966,0.9411807267726472,0.9384878124514827,0.985691734385642
gb,lrs,5,0.9244527247321844,0.9238028031380523,0.9266044653705267,0.9244527247321844,0.9750435862374939
ab,lrs,5,0.9297158826269213,0.9287833717537415,0.9340177853845983,0.9297158826269213,0.9792454446749403
nb,tree,5,0.9332401800962582,0.9327991536991294,0.9344652978330557,0.9332401800962582,0.983710856872501
rf,tree,5,0.947290793355069,0.9471350778788249,0.9481618346775985,0.947290793355069,0.9855437859716438
knn,tree,5,0.9543083372147182,0.9540280008204418,0.954853043520913,0.9543083372147182,0.9809816045281161
lr,tree,5,0.9525384257102936,0.9524702720569138,0.9534667513667129,0.9525384257102936,0.9879301216428633
gb,tree,5,0.9455208818506444,0.9452765276574737,0.947009681166735,0.9455208818506444,0.9847902661446716
ab,tree,5,0.9455364073901569,0.945377184838977,0.9463290687761827,0.9455364073901569,0.9837056793820633
nb,rfe,5,0.9420121099208197,0.9419333997768886,0.9426473535999467,0.9420121099208197,0.9880814386751171
rf,rfe,5,0.9455519329296692,0.9453662531378664,0.9464159039813124,0.9455519329296692,0.980634799321337
knn,rfe,5,0.9402887750349324,0.9400186639410567,0.9408177095527865,0.9402887750349324,0.9734679502510325
lr,rfe,5,0.9490451793199813,0.9489532029031889,0.9504463915548327,0.9490451793199813,0.98760539117565
gb,rfe,5,0.9420276354603322,0.9417592377457137,0.9429843407806574,0.9420276354603322,0.9822010335050788
ab,rfe,5,0.9437820214252446,0.9436922540046406,0.9444199943948007,0.9437820214252446,0.9825252115622243
nb,em,5,0.935010091600683,0.9347538602314888,0.9359955007585625,0.935010091600683,0.9805328092586526
rf,em,5,0.9455519329296692,0.9454353727852232,0.94670627976226,0.9455519329296692,0.986552790039115
knn,em,5,0.947290793355069,0.9473991023147679,0.9485664051982396,0.947290793355069,0.970616095366341
lr,em,5,0.9455208818506444,0.9455181255616619,0.9463142088981348,0.9455208818506444,0.9878659120961775
gb,em,5,0.9402887750349324,0.9403156185487941,0.9414587248890929,0.9402887750349324,0.9821706942776383
ab,em,5,0.943797546964757,0.9434958184663591,0.9448014462517463,0.943797546964757,0.9868711190484856
nb,rfc,5,0.9420121099208197,0.9419333997768886,0.9426473535999467,0.9420121099208197,0.9880814386751171
rf,rfc,5,0.9437820214252446,0.943693229475158,0.9444110166316368,0.9437820214252446,0.9795813749854858
knn,rfc,5,0.9402887750349324,0.9400186639410567,0.9408177095527865,0.9402887750349324,0.9734679502510325
lr,rfc,5,0.9490451793199813,0.9489532029031889,0.9504463915548327,0.9490451793199813,0.98760539117565
gb,rfc,5,0.9385188635305077,0.9383130368610407,0.9398346769212566,0.9385188635305077,0.9823638753277633
ab,rfc,5,0.9437820214252446,0.9436922540046406,0.9444199943948007,0.9437820214252446,0.9825252115622243
nb,muin,5,0.9420121099208197,0.9419333997768886,0.9426473535999467,0.9420121099208197,0.9880814386751171
rf,muin,5,0.9402577239559073,0.9401018639428089,0.9409439882512055,0.9402577239559073,0.9793898078392838
knn,muin,5,0.9402887750349324,0.9400186639410567,0.9408177095527865,0.9402887750349324,0.9734679502510325
lr,muin,5,0.9490451793199813,0.9489532029031889,0.9504463915548327,0.9490451793199813,0.98760539117565
gb,muin,5,0.9402732494954199,0.9400244747027109,0.941362174266495,0.9402732494954199,0.9822328566576027
ab,muin,5,0.9437820214252446,0.9436922540046406,0.9444199943948007,0.9437820214252446,0.9825252115622243
nb,emm,5,0.935010091600683,0.9347538602314888,0.9359955007585625,0.935010091600683,0.9805328092586526
rf,emm,5,0.9437820214252446,0.9436430932021344,0.9449237774239622,0.9437820214252446,0.9878267668023645
knn,emm,5,0.947290793355069,0.9473991023147679,0.9485664051982396,0.947290793355069,0.970616095366341
lr,emm,5,0.9455208818506444,0.9455181255616619,0.9463142088981348,0.9455208818506444,0.9878659120961775
