model,fs_method,k,accuracy
nb,nofs,13,0.8311494252873564
rf,nofs,13,0.7841379310344828
knn,nofs,13,0.8114942528735632
lr,nofs,13,0.8348275862068967
svc,nofs,13,0.8214942528735634
gb,nofs,13,0.723448275862069
ab,nofs,13,0.803793103448276
nb,lrs,1,0.720344827586207
rf,lrs,1,0.7439080459770115
knn,lrs,1,0.5989655172413794
lr,lrs,1,0.7439080459770115
svc,lrs,1,0.7439080459770115
gb,lrs,1,0.7439080459770115
ab,lrs,1,0.7439080459770115
nb,lrs,2,0.7435632183908046
rf,lrs,2,0.6735632183908046
knn,lrs,2,0.7165517241379311
lr,lrs,2,0.7302298850574713
svc,lrs,2,0.7371264367816093
gb,lrs,2,0.6935632183908046
ab,lrs,2,0.7202298850574713
nb,lrs,3,0.7471264367816092
rf,lrs,3,0.7103448275862069
knn,lrs,3,0.7036781609195402
lr,lrs,3,0.7436781609195402
svc,lrs,3,0.7370114942528737
gb,lrs,3,0.7072413793103449
ab,lrs,3,0.7270114942528736
nb,lrs,4,0.7573563218390806
rf,lrs,4,0.7409195402298852
knn,lrs,4,0.7201149425287356
lr,lrs,4,0.7673563218390804
svc,lrs,4,0.7539080459770116
gb,lrs,4,0.7141379310344828
ab,lrs,4,0.7506896551724138
nb,lrs,5,0.7942528735632184
rf,lrs,5,0.781264367816092
knn,lrs,5,0.7779310344827587
lr,lrs,5,0.8075862068965517
svc,lrs,5,0.7943678160919541
gb,lrs,5,0.771264367816092
ab,lrs,5,0.777816091954023
nb,lrs,6,0.7945977011494254
rf,lrs,6,0.7880459770114943
knn,lrs,6,0.7710344827586206
lr,lrs,6,0.7780459770114942
svc,lrs,6,0.784712643678161
gb,lrs,6,0.7644827586206897
ab,lrs,6,0.7844827586206897
nb,lrs,7,0.8180459770114942
rf,lrs,7,0.8013793103448276
knn,lrs,7,0.8014942528735632
lr,lrs,7,0.8383908045977012
svc,lrs,7,0.8282758620689655
gb,lrs,7,0.7811494252873563
ab,lrs,7,0.8045977011494253
nb,lrs,8,0.8147126436781609
rf,lrs,8,0.8050574712643679
knn,lrs,8,0.794712643678161
lr,lrs,8,0.8349425287356322
svc,lrs,8,0.8182758620689654
gb,lrs,8,0.7744827586206897
ab,lrs,8,0.8045977011494253
nb,lrs,9,0.8281609195402299
rf,lrs,9,0.8080459770114942
knn,lrs,9,0.8044827586206896
lr,lrs,9,0.8383908045977012
svc,lrs,9,0.8318390804597702
gb,lrs,9,0.7777011494252875
ab,lrs,9,0.8045977011494253
nb,lrs,10,0.8345977011494252
rf,lrs,10,0.811264367816092
knn,lrs,10,0.8244827586206898
lr,lrs,10,0.8313793103448276
svc,lrs,10,0.82816091954023
gb,lrs,10,0.7775862068965519
ab,lrs,10,0.8348275862068967
nb,lrs,11,0.8380459770114943
rf,lrs,11,0.8113793103448277
knn,lrs,11,0.8313793103448276
lr,lrs,11,0.8314942528735632
svc,lrs,11,0.8248275862068966
gb,lrs,11,0.774712643678161
ab,lrs,11,0.82816091954023
nb,lrs,12,0.8517241379310345
rf,lrs,12,0.824712643678161
knn,lrs,12,0.8080459770114942
lr,lrs,12,0.8417241379310344
svc,lrs,12,0.8248275862068966
gb,lrs,12,0.7745977011494254
ab,lrs,12,0.8348275862068967
