model,fs_method,k,accuracy,fmeasure,precision,recall,roc
nb,nofs,11,0.808736705014109,0.8231219919694015,0.8713434039985085,0.808736705014109,0.8433684748578365
rf,nofs,11,0.8660896461905796,0.8474238639136956,0.8567826719957174,0.8660896461905796,0.8680739249888185
knn,nofs,11,0.8521082049055785,0.8445248738300284,0.8565922185307292,0.8521082049055785,0.7835272506549102
lr,nofs,11,0.8631538962448448,0.8479477952011012,0.8559639353689141,0.8631538962448448,0.8811520030668968
gb,nofs,11,0.8683009550683742,0.8563280512035266,0.8596978587936839,0.8683009550683742,0.872477158009073
ab,nofs,11,0.8734398741046233,0.85061827078787,0.8637790643979475,0.8734398741046233,0.8729758481886142
nb,lrs,1,0.853573366616019,0.8334356465770906,0.8317282296557641,0.853573366616019,0.8336828317679382
rf,lrs,1,0.8381050575211635,0.8065448066489003,0.8024156125597102,0.8381050575211635,0.8004977317743276
knn,lrs,1,0.8469557195571955,0.8263276442623801,0.8138518945855004,0.8469557195571955,0.7156453261772411
lr,lrs,1,0.8602072932494031,0.828358850724387,0.8272612625580849,0.8602072932494031,0.8336828317679382
gb,lrs,1,0.839581072281311,0.8024591321369539,0.7881202971852084,0.839581072281311,0.8073420228739379
ab,lrs,1,0.8616670284349903,0.8016352603200947,0.754470907605411,0.8616670284349903,0.8297348412242028
nb,tree,1,0.853573366616019,0.8334356465770906,0.8317282296557641,0.853573366616019,0.8336828317679382
rf,tree,1,0.8395756457564575,0.8075723236982162,0.8029402701363841,0.8395756457564575,0.7980557152897578
knn,tree,1,0.8469557195571955,0.8263276442623801,0.8138518945855004,0.8469557195571955,0.7156453261772411
lr,tree,1,0.8602072932494031,0.828358850724387,0.8272612625580849,0.8602072932494031,0.8336828317679382
gb,tree,1,0.839581072281311,0.8024591321369539,0.7881202971852084,0.839581072281311,0.8073420228739379
ab,tree,1,0.8616670284349903,0.8016352603200947,0.754470907605411,0.8616670284349903,0.8297348412242028
nb,rfe,1,0.8638810505752117,0.811593851199152,0.8212380994142228,0.8638810505752117,0.6143645773433007
rf,rfe,1,0.8204444323855004,0.8053558314271285,0.7990225039480738,0.8204444323855004,0.5360060060060061
knn,rfe,1,0.8439982635120469,0.8040916224850772,0.7828533510703457,0.8439982635120469,0.5696383617660213
lr,rfe,1,0.8646082049055785,0.8018283018210421,0.7475489742101196,0.8646082049055785,0.6421583285413073
gb,rfe,1,0.8520892120685912,0.8164449801741608,0.8192267645844714,0.8520892120685912,0.5722046514599706
ab,rfe,1,0.8601937269372695,0.7996137821823553,0.747023474865267,0.8601937269372695,0.5852316145933166
nb,em,1,0.853573366616019,0.8334356465770906,0.8317282296557641,0.853573366616019,0.8336828317679382
rf,em,1,0.8366344692858693,0.8032966498081752,0.791238542845762,0.8366344692858693,0.7996121653568462
knn,em,1,0.8469557195571955,0.8263276442623801,0.8138518945855004,0.8469557195571955,0.7156453261772411
lr,em,1,0.8602072932494031,0.828358850724387,0.8272612625580849,0.8602072932494031,0.8336828317679382
gb,em,1,0.839581072281311,0.8024591321369539,0.7881202971852084,0.839581072281311,0.8073420228739379
ab,em,1,0.8616670284349903,0.8016352603200947,0.754470907605411,0.8616670284349903,0.8297348412242028
nb,rfc,1,0.853573366616019,0.8334356465770906,0.8317282296557641,0.853573366616019,0.8336828317679382
rf,rfc,1,0.8410516605166052,0.806785184536188,0.8058609266350913,0.8410516605166052,0.8010165484633569
knn,rfc,1,0.8469557195571955,0.8263276442623801,0.8138518945855004,0.8469557195571955,0.7156453261772411
lr,rfc,1,0.8602072932494031,0.828358850724387,0.8272612625580849,0.8602072932494031,0.8336828317679382
gb,rfc,1,0.839581072281311,0.8024591321369539,0.7881202971852084,0.839581072281311,0.8073420228739379
ab,rfc,1,0.8616670284349903,0.8016352603200947,0.754470907605411,0.8616670284349903,0.8297348412242028
nb,muin,1,0.853573366616019,0.8334356465770906,0.8317282296557641,0.853573366616019,0.8336828317679382
rf,muin,1,0.8366344692858693,0.8022187542496664,0.7846749831098275,0.8366344692858693,0.8015321704683407
knn,muin,1,0.8469557195571955,0.8263276442623801,0.8138518945855004,0.8469557195571955,0.7156453261772411
lr,muin,1,0.8602072932494031,0.828358850724387,0.8272612625580849,0.8602072932494031,0.8336828317679382
gb,muin,1,0.839581072281311,0.8024591321369539,0.7881202971852084,0.839581072281311,0.8073420228739379
ab,muin,1,0.8616670284349903,0.8016352603200947,0.754470907605411,0.8616670284349903,0.8297348412242028
nb,emm,1,0.853573366616019,0.8334356465770906,0.8317282296557641,0.853573366616019,0.8336828317679382
rf,emm,1,0.839581072281311,0.8035636749731442,0.7991738862469769,0.839581072281311,0.8008485080825507
knn,emm,1,0.8469557195571955,0.8263276442623801,0.8138518945855004,0.8469557195571955,0.7156453261772411
