model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,23,0.8358974358974358,0.8070963965884139,0.8414076164076164,0.8358974358974358,0.8501660280970625
nb,nofs,23,0.6820512820512821,0.7000831078535528,0.8028675698965554,0.6820512820512821,0.8115836526181355
knn,nofs,23,0.717948717948718,0.701948445987742,0.7017726222957211,0.717948717948718,0.675823754789272
rf,nofs,23,0.8102564102564103,0.7803023286635326,0.8023919100842176,0.8102564102564103,0.8542273307790549
dt,nofs,23,0.7282051282051281,0.7256888928029357,0.8622133113034686,0.7282051282051281,0.7673563218390804
gb,nofs,23,0.8,0.7899489216964133,0.8516430477516449,0.8,0.8909833971902937
ab,nofs,23,0.7692307692307692,0.7534441003953198,0.8231260823417685,0.7692307692307692,0.8037037037037036
svc,nofs,23,0.8461538461538461,0.8147865632912097,0.8802716684295632,0.8461538461538461,0.8284802043422733
ri,nofs,23,0.8307692307692307,0.7947910969121377,0.7822701230393538,0.8307692307692307,0.7942017879948915
xgb,nofs,23,0.8102564102564103,0.7974103997672269,0.8639627661412803,0.8102564102564103,0.8930268199233715
lr,emm,1,0.7538461538461538,0.648101514853433,0.5684418145956608,0.7538461538461538,0.72
nb,emm,1,0.6974358974358975,0.6439505911274552,0.6164365548980933,0.6974358974358975,0.52
knn,emm,1,0.6974358974358974,0.6709480234874783,0.8489894260379296,0.6974358974358974,0.7382758620689656
rf,emm,1,0.6974358974358974,0.6709480234874783,0.8489894260379296,0.6974358974358974,0.7617241379310344
dt,emm,1,0.6974358974358974,0.6709480234874783,0.8489894260379296,0.6974358974358974,0.6524904214559387
gb,emm,1,0.6974358974358974,0.6709480234874783,0.8489894260379296,0.6974358974358974,0.7024904214559388
ab,emm,1,0.6769230769230768,0.6379099725389796,0.8356370405493212,0.6769230769230768,0.7024904214559388
svc,emm,1,0.7538461538461538,0.648101514853433,0.5684418145956608,0.7538461538461538,0.27999999999999997
ri,emm,1,0.7692307692307692,0.6875462386118822,0.636740534478091,0.7692307692307692,0.6755555555555556
xgb,emm,1,0.6974358974358974,0.6745375281667504,0.8515937268878446,0.6974358974358974,0.840153256704981
lr,emm,2,0.7641025641025642,0.6690394004972011,0.6257014410860565,0.7641025641025642,0.9203320561941251
nb,emm,2,0.8102564102564103,0.8055919108256496,0.8396763304568733,0.8102564102564103,0.8814814814814815
