model,fs_method,k,accuracy,fmeasure,precision,recall,roc
nb,nofs,4,0.9533333333333334,0.9530472646262119,0.9583838383838383,0.9533333333333334,0.9933333333333334
rf,nofs,4,0.9533333333333334,0.9531151110098477,0.9572390572390571,0.9533333333333334,0.9943333333333333
knn,nofs,4,0.96,0.9598319029897977,0.9634343434343433,0.96,0.9950000000000001
lr,nofs,4,0.9600000000000002,0.9597984861142755,0.9632996632996633,0.9600000000000002,0.9973333333333333
gb,nofs,4,0.96,0.9599665831244779,0.9612121212121212,0.96,0.9866666666666667
ab,nofs,4,0.9399999999999998,0.9393381280580095,0.947915047915048,0.9399999999999998,0.9880000000000001
nb,lrs,1,0.96,0.9597984861142755,0.9632996632996633,0.96,0.9916666666666666
rf,lrs,1,0.9400000000000001,0.9399164578111947,0.9416835016835016,0.9400000000000001,0.9780000000000001
knn,lrs,1,0.96,0.9598319029897977,0.9634343434343435,0.96,0.9773333333333334
lr,lrs,1,0.96,0.9597984861142755,0.9632996632996633,0.96,0.9913333333333334
gb,lrs,1,0.9533333333333334,0.9531151110098477,0.9572390572390572,0.9533333333333334,0.977
ab,lrs,1,0.9533333333333334,0.9531151110098477,0.9572390572390572,0.9533333333333334,0.977
nb,lrs,2,0.96,0.9598319029897977,0.9634343434343433,0.96,0.999
rf,lrs,2,0.9666666666666668,0.9664818612187034,0.9707070707070706,0.9666666666666668,0.9949999999999999
knn,lrs,2,0.9666666666666668,0.9663805979595452,0.9717171717171718,0.9666666666666668,0.9943333333333333
lr,lrs,2,0.96,0.9596972228551175,0.9656565656565658,0.96,0.9983333333333334
gb,lrs,2,0.9666666666666668,0.9666165413533836,0.9684848484848484,0.9666666666666668,0.977
ab,lrs,2,0.9399999999999998,0.9393381280580095,0.947915047915048,0.9399999999999998,0.9880000000000001
nb,lrs,3,0.96,0.9596972228551175,0.9656565656565658,0.96,0.9959999999999999
rf,lrs,3,0.9466666666666667,0.9461227664215954,0.9529655529655529,0.9466666666666667,0.9951666666666668
knn,lrs,3,0.9666666666666668,0.9665152780942254,0.9694949494949496,0.9666666666666668,0.998
lr,lrs,3,0.9600000000000002,0.9597984861142755,0.9632996632996633,0.9600000000000002,0.9986666666666666
gb,lrs,3,0.9666666666666668,0.9666165413533836,0.9684848484848484,0.9666666666666668,0.9870000000000001
ab,lrs,3,0.9399999999999998,0.9393381280580095,0.947915047915048,0.9399999999999998,0.9880000000000001
