model,fs_method,k,accuracy
lr,nofs,36,0.9565106611893583,0.9565059983009133,0.956677573234613,0.9565106611893583,0.9915354619965842
nb,nofs,36,0.6235881259780909,0.5551143241020636,0.7623293155992608,0.6235881259780909,0.9138051282293752
knn,nofs,36,0.9562006064162754,0.9561759387557636,0.9566325445890211,0.9562006064162754,0.9877318819328436
rf,nofs,36,0.9887363067292645,0.9887334255344354,0.9888101030017049,0.9887363067292645,0.9986879968911566
dt,nofs,36,0.994054186228482,0.9940540675412748,0.9940607763231721,0.994054186228482,0.9940567569110869
gb,nofs,36,0.9793485915492959,0.9793558075845258,0.9796420774947651,0.9793485915492959,0.9980267538127133
ab,nofs,36,0.9408646322378716,0.9407292404328619,0.9423494933701523,0.9408646322378716,0.9894340183116344
svc,nofs,36,0.9483734350547731,0.9483468702724753,0.9486293265825125,0.9483734350547731,0.9909332472499098
ri,nofs,36,0.9418031103286385,0.9417793548357981,0.9420122436105872,0.9418031103286385,0.9811742983299195
xgb,nofs,36,0.9924902190923317,0.9924892892839324,0.992513639053627,0.9924902190923317,0.9997018570452225
lr,bor,1,0.5222153755868544,0.35830549864277195,0.272709294821239,0.5222153755868544,0.4927582101991817
nb,bor,1,0.5165815727699531,0.3810136179948474,0.35426157937124336,0.5165815727699531,0.4927582101991817
knn,bor,1,0.48122603677621284,0.3421576842954658,0.34254984494423246,0.48122603677621284,0.5016784131789416
rf,bor,1,0.5222153755868544,0.35830549864277195,0.272709294821239,0.5222153755868544,0.4923557364581391
dt,bor,1,0.5222153755868544,0.35830549864277195,0.272709294821239,0.5222153755868544,0.4927582101991817
gb,bor,1,0.5222153755868544,0.35830549864277195,0.272709294821239,0.5222153755868544,0.4927582101991817
ab,bor,1,0.5222153755868544,0.35830549864277195,0.272709294821239,0.5222153755868544,0.4927582101991817
svc,bor,1,0.5222153755868544,0.35830549864277195,0.272709294821239,0.5222153755868544,0.5
ri,bor,1,0.5222153755868544,0.35830549864277195,0.272709294821239,0.5222153755868544,0.4923557364581391
xgb,bor,1,0.5222153755868544,0.35830549864277195,0.272709294821239,0.5222153755868544,0.4927582101991817
lr,bor,2,0.5028100547730829,0.35764678760417484,0.3180097130034485,0.5028100547730829,0.5125278659554466
nb,bor,2,0.5181465179968702,0.3988426180638446,0.3648984731529714,0.5181465179968702,0.5190854034038543
knn,bor,2,0.5459864045383411,0.49368458950750266,0.5848372623203205,0.5459864045383411,0.5683195364372546
rf,bor,2,0.568521615805947,0.5603047744179055,0.5827374664301868,0.568521615805947,0.5939332288805859
dt,bor,2,0.568521615805947,0.5603047744179055,0.5827374664301868,0.568521615805947,0.5939332288805859
gb,bor,2,0.568521615805947,0.5603047744179055,0.5827374664301868,0.568521615805947,0.5939332288805859
ab,bor,2,0.5028100547730829,0.35764678760417484,0.3180097130034485,0.5028100547730829,0.5125278659554466
svc,bor,2,0.5222153755868544,0.35830549864277195,0.272709294821239,0.5222153755868544,0.5
ri,bor,2,0.5103217918622849,0.35868923831397864,0.30591141042699543,0.5103217918622849,0.5125278659554466
xgb,bor,2,0.568521615805947,0.5603047744179055,0.5827374664301868,0.568521615805947,0.5939332288805859
lr,bor,3,0.682422730829421,0.6778021069766149,0.686981700429484,0.682422730829421,0.6966813573862349
nb,bor,3,0.682422730829421,0.6778021069766149,0.686981700429484,0.682422730829421,0.6904170329814124
knn,bor,3,0.5769679186228481,0.5675446345544322,0.5940797905285478,0.5769679186228481,0.5847860427386044
rf,bor,3,0.6886790884194054,0.6866263857775543,0.6898410075934022,0.6886790884194054,0.7239377131516671
dt,bor,3,0.6886790884194054,0.6866263857775543,0.6898410075934022,0.6886790884194054,0.7239377131516671
gb,bor,3,0.6886790884194054,0.6866263857775543,0.6898410075934022,0.6886790884194054,0.7239377131516671
ab,bor,3,0.682422730829421,0.6778021069766149,0.686981700429484,0.682422730829421,0.6987899271319894
svc,bor,3,0.682422730829421,0.6778021069766149,0.686981700429484,0.682422730829421,0.677418325710555
ri,bor,3,0.682422730829421,0.6778021069766149,0.686981700429484,0.682422730829421,0.6987899271319894
xgb,bor,3,0.6886790884194054,0.6866263857775543,0.6898410075934022,0.6886790884194054,0.7239377131516671
lr,bor,4,0.7212187010954617,0.7197661690649207,0.7223929194750676,0.7212187010954617,0.730788573139012
nb,bor,4,0.695553599374022,0.6900984613847512,0.7026716549985048,0.695553599374022,0.7342671864010093
knn,bor,4,0.6173361697965571,0.6077773826545046,0.6375412217564225,0.6173361697965571,0.6510193300759901
rf,bor,4,0.7234101134585289,0.7229565711566435,0.7233437208285899,0.7234101134585289,0.771188897771249
dt,bor,4,0.7234101134585289,0.7229565711566435,0.7233437208285899,0.7234101134585289,0.7710681556489363
gb,bor,4,0.721219190140845,0.720150686527865,0.7219398429485333,0.721219190140845,0.7711986978942942
ab,bor,4,0.7212187010954617,0.7197661690649207,0.7223929194750676,0.7212187010954617,0.7307924986331337
svc,bor,4,0.7212187010954617,0.7197661690649207,0.7223929194750676,0.7212187010954617,0.7181281973550859
ri,bor,4,0.7212187010954617,0.7197661690649207,0.7223929194750676,0.7212187010954617,0.7308023150658419
xgb,bor,4,0.7234101134585289,0.7229565711566435,0.7233437208285899,0.7234101134585289,0.7712664359908059
lr,bor,5,0.7212206572769952,0.718262014574272,0.7252101565869584,0.7212206572769952,0.7597738236025403
nb,bor,5,0.7087035406885759,0.7022085776156013,0.7196777070357644,0.7087035406885759,0.7446346717046783
knn,bor,5,0.5240845070422535,0.497153591891393,0.5509156732125364,0.5240845070422535,0.5974516103613261
