model,fs_method,k,accuracy
nb,nofs,8,0.7455170791596388
rf,nofs,8,0.8149392447764277
knn,nofs,8,0.7972238477160856
lr,nofs,8,0.8080014457333655
svc,nofs,8,0.8101568505960781
gb,nofs,8,0.8142244099457276
ab,nofs,8,0.7622789806432365
nb,lrs,1,0.794836666551926
rf,lrs,1,0.7802267277087421
knn,lrs,1,0.777592853946508
lr,lrs,1,0.8010579096531387
svc,lrs,1,0.8017761867061376
gb,lrs,1,0.8041662363888793
ab,lrs,1,0.8010567622457059
nb,lrs,2,0.7646678829185455
rf,lrs,2,0.7866900737782979
knn,lrs,2,0.7878931304716993
lr,lrs,2,0.8010590570605716
svc,lrs,2,0.8024950374628528
gb,lrs,2,0.8063176253255768
ab,lrs,2,0.7603616628228517
nb,lrs,3,0.7716142875173546
rf,lrs,3,0.7974619347584134
knn,lrs,3,0.7895694927311739
lr,lrs,3,0.7957890147212373
svc,lrs,3,0.8000975296317969
gb,lrs,3,0.8060806856906819
ab,lrs,3,0.7620391724897593
nb,lrs,4,0.7617987906325656
rf,lrs,4,0.8029637533991945
knn,lrs,4,0.7921976294562437
lr,lrs,4,0.7962697784356247
svc,lrs,4,0.7996202081397084
gb,lrs,4,0.8091907335375719
ab,lrs,4,0.7615607035902378
nb,lrs,5,0.7617987906325656
rf,lrs,5,0.8060818330981148
knn,lrs,5,0.795309398414283
lr,lrs,5,0.7960311176895803
svc,lrs,5,0.8020142737484652
gb,lrs,5,0.8123042236067606
ab,lrs,5,0.7622789806432365
nb,lrs,6,0.7483942032976489
rf,lrs,6,0.8096714972519592
knn,lrs,6,0.7981807855151286
lr,lrs,6,0.8003396326001401
svc,lrs,6,0.8027308296903147
gb,lrs,6,0.808958957236125
ab,lrs,6,0.7622789806432365
nb,lrs,7,0.7424058839053159
rf,lrs,7,0.8106341720881668
knn,lrs,7,0.802970637843792
lr,lrs,7,0.8000998244466627
svc,lrs,7,0.8027308296903147
gb,lrs,7,0.8089572361249756
ab,lrs,7,0.7622789806432365
