original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,Label
0.851916556,0.6703158183,50.57127682,75.44395559,71.27333776,73.75052173,67.67657488,80.74523637,20830.09949,64.27195481,0.1540801491,23761.01549,1.140705809,21271.65999,43,105,154128182,2.072019305,34,3.077820719,179,19.58409905,74.72744768,75,-32,211,14.07228697,78.60956453,-0.2054240635,131447449.4,0.275887841,595.2721991,31.99588398,28.42834755,-1.191905674,3.071887607,0.5961691064,0.6695151337,0.5050049276,1.180833745,0.332198267,0.7617307104,0.7565220388,0.9941639658,0.954766422,-0.236509643,0.7578108929,0.4336672503,5.601449901,0.1229736441,3.478452241,0.6722873651,0.2230600041,11.2028998,2.817419758,0.9170141783,148.3276074,0.1819970642,2.70424028,27.63067485,118397.4331,3992456.521,3654.757267,0.05948212489,161.6380368,0.1983288795,0.4515975494,12.19098314,0.02949633208,5.819060993,0.03267580787,117460.8478,4244.016976,0.2598954403,1.165993262,30.81399033,3.857131123,123.9189333,0.1370088803,0.03914570517,3.555841121,8666.974359,0.509861862,0.6541545617,1.20762572,0.7286854401,22.0882712,0.02958462873,6.255214105,1407.966322,0.05644961598,25.11796954,6881.194531,1.043513137,31.39680058,124.9576618,4119.416045,4.173757915,0.03749687566,0.0392740144,1.109040091,0.002059505914,1
0.3029289563,0.1783906293,16.07422187,90.10687352,77.80475124,48.69861029,33.63351911,79.11349058,5175.632023,27.29598115,0.3765847407,3842.350691,0.7423925569,5261.200805,28,109,35793124,2.30729123,54,1.902502013,152,27.06076768,69.58177987,70,-8,160,21.81321449,76.17148411,0.00401017458,30525986.84,0.2187758111,960.4709016,20.38722307,72.83487176,-1.014482763,6.367129352,0.5309434077,0.8466200082,0.4718617065,1.127393475,0.3023005794,0.7735783967,0.7699723592,0.991921595,0.9482190989,-0.3796139356,0.906266167,0.4233197365,4.350544043,0.09713302351,3.75272643,0.8793203497,0.1758089949,8.701088085,3.161258031,1.72451819,29.5625,0.2309570313,2.08984375,18.59375,32391.83594,724777.3516,2056.969048,0.1050062558,24.65625,0.1926269531,0.441607315,8.171596851,0.05278923659,5.123954682,0.02074890582,30069.04779,753.6879043,0.2128765791,1.60721914,20.06574347,4.958502598,98.66701862,0.3665002633,0.07576371883,4.015070949,1541.073185,0.4219490211,0.573475317,1.6271183,0.6615281891,13.04859875,0.05133769021,6.619667206,297.9103582,0.04829151536,31.76713051,1349.627979,1.615042936,20.17523099,177.9265683,3591.397795,12.92980925,0.07439250257,0.02694804725,0.5035526082,0.002561761723,6
0.6948823899,0.520468683,33.04330627,63.48759751,74.24613003,76.47889453,61.13323813,84.07861384,17041.01476,44.11641349,0.2534548433,12635.1528,0.7414554227,17058.73362,14,84,60759931,2.210042738,37,2.879566485,136,21.87281172,49.11505571,50,-61,197,15.76140869,56.1159403,-0.1637043626,53717930.95,0.2482891154,736.7100584,32.1171832,46.39841396,-0.9262519063,4.19645528,0.7457385781,0.6984303105,0.5902346813,1.289970028,0.3860606955,0.729495883,0.7204037601,0.9910645076,0.9423660286,-0.2334227056,0.7853210166,0.4662791787,5.59044812,0.09099541991,3.873723446,0.702810172,0.1615868124,11.18089624,3.058377966,1.235548465,90.70235935,0.1646140823,3.182235895,25.80943739,131611.294,4189308.047,4410.689955,0.07489281382,122.8511797,0.2229603987,0.4749232374,11.71600942,0.03888097135,5.569829984,0.02855662089,130385.0233,2958.831197,0.2415718769,1.35365118,30.67353659,4.007463754,128.677268,0.1483734169,0.04105769129,3.743601528,6144.844986,0.4870068315,0.633356589,1.271952702,0.715540711,21.50813147,0.03066761757,6.440270004,1049.972998,0.05441684365,25.51920611,4790.738481,1.261913645,31.33288417,136.4575797,4480.503965,4.824073538,0.03915580367,0.03583194962,0.9568570174,0.002219468058,1
0.7593419376,0.7280811265,5.387863851,7.400087237,8.219884184,8.219884184,6.122572417,8.881609764,149.8183243,5.619196581,0.8659506333,157.5315745,1.051484024,157.3700225,36.4,80,655898,1.611920676,23.75,2.632712466,92,13.37785633,58.37078652,59,13,79,9.547948555,60.70272008,-0.1937734307,579880.2417,0.3745107941,277.6715061,7.750714161,7.144450559,-0.2246972851,1.646170213,0.6728915912,0.4196610079,0.5626600116,1.206895025,0.3388314602,0.7370419241,0.7296931522,0.9623634049,0.8911423837,-0.1358803843,0.5652069541,0.4662073795,2.73961163,0.1554543241,3.056195901,0.465434478,0.2848676957,5.479223259,2.338089699,0.579765451,2,0.3333333333,1.333333333,10.33333333,1936.666667,16756.16667,260.0208333,0.2581018519,1,0.1666666667,0.1901015746,2.971058204,0.01623799503,2.584962501,0.03370786517,1056.555556,41.49947265,0.3535245644,0.6258690911,9.035056252,3.203807532,27.61238626,0.5138146419,0.1718172786,2.951094398,58.93348797,0.4859308687,0.6594641314,0.7138003203,0.7057412697,6.595381178,0.1239250922,5.182406605,13.38202247,0.07517990153,14.9561924,66.66292135,0.5619555612,8.803370787,112.0561798,915.0393258,17.21200062,0.1669007491,0.02718016472,0.3260491544,0.004193270994,2
0.670268331,0.5231712772,86.59243607,165.5145071,288.9933431,144.5981851,331.923427,337.486074,45675.02818,110.9391324,0.1806035345,34214.51817,0.7490858688,46542.62621,33,92,359966100,2.001584654,32,275.0746779,148,21.17982697,61.90152724,66,-962,1110,13.25133898,82.69064151,-15.0308107,318246479,0.2907229095,3005.943118,1759.368192,31378.79141,-391.8485496,7.926953713,0.5567462393,0.7413309809,0.4904897784,1.146912621,0.3090418179,0.7656722011,0.7613804493,0.9997253004,0.9893677955,-0.2503750425,0.7767559073,0.4336999363,41.92284813,0.1232398557,3.432068812,0.8281686631,0.2257407479,83.84569625,2.80461745,2.120924988,301.2166667,0.2281944444,8.472712925,1814.400758,46497.70303,81702930.97,28.94412386,0.002527822647,195.8106061,0.1483413682,0.3848114658,698.660875,0.001244071611,6.252230276,0.02507408252,44907.14361,8780.072197,0.2812761023,5.915383002,1773.989865,4.765514356,8391.936736,0.006945738951,0.001699478545,3.691176024,14213.44951,0.4373103881,0.5920347413,1.523744276,0.6712935682,1193.581733,0.001403139932,6.295148667,2682.803054,0.05096123118,28.66649929,15304.81685,4.896095894,1768.543481,163.3911937,287085.751,0.1317309146,0.00144453496,0.02803891103,50.44356149,7.26E-05,4
0.5691262665,0.1692986489,13.81901874,81.6250976,75.29671783,48.40936592,26.71416345,83.38030664,8439.188482,46.45498705,0.4438897791,4515.883924,0.5351087885,8512.126835,41,107,57779176,2.180632513,33,3.915022729,179,20.69840855,72.67823016,72,-53,232,14.13731358,77.46715937,-0.1578113256,51082641.73,0.2665065876,719.0356416,42.64027204,51.66962876,1.059885184,3.882708788,0.6907163948,0.696419173,0.5485945379,1.259344555,0.3795512493,0.7473604127,0.7398000014,0.9944141907,0.9551713238,-0.2467104203,0.7911881222,0.4425956138,6.468545716,0.1094062541,3.734235282,0.7241406041,0.2115575692,12.93709143,2.986790341,1.143356296,37.38818565,0.1577560576,4.009507023,36.89029536,46593.98312,1926589.409,1191.590279,0.04987200557,53.84388186,0.2271893749,0.4808886757,17.49585175,0.02633361987,5.471057466,0.0246157042,44943.63535,1357.792377,0.2458057323,1.441521616,42.06153399,5.013980554,215.0417502,0.1304852976,0.02862589879,3.978977185,2415.299646,0.4238392944,0.5734556262,1.6848417,0.6639920572,27.52542659,0.01999167365,6.537201005,463.810968,0.04817313752,31.55855282,2565.925426,1.229639947,42.56647279,177.7303698,7695.151849,4.459496868,0.02723994771,0.02980978359,1.132041511,0.001280805775,6
0.7759265352,0.5690721134,49.16544505,86.39580801,105.4685703,96.1422701,103.0665358,123.7413438,156120.1086,67.03679996,0.338482769,41424.1357,0.2653350428,156332.0102,30,87,878094340,1.951423996,29,3.585421582,228,17.8056783,57.04602242,56,-130,358,12.57888976,61.33561444,0.05897821335,588130027,0.3048608312,507.8089253,78.39464024,27.31693073,0.7723066999,2.934803583,0.5011456268,0.7070420665,0.4346397962,1.11180122,0.3051157134,0.7929279627,0.7892355189,0.9980584316,0.9746463014,-0.2764027381,0.7955908441,0.3836860686,8.81964662,0.144846948,3.320501287,0.7150420642,0.2584085295,17.63929324,2.755606189,0.8589873026,417.6497925,0.1732986691,3.396020041,76.14771784,6320416.879,483365483.3,84161.13982,0.01637985252,442.5726141,0.1836400888,0.4275759893,32.63391884,0.007186783059,6.102444514,0.01032526734,6311036.997,28961.6665,0.2716947299,1.108290817,78.62083452,10.03778576,772.5186294,0.1351280438,0.01352894123,4.255946202,37227.60062,0.3338504259,0.4561194264,4.449242065,0.5779018423,45.15875295,0.007964830801,6.448773425,10100.09408,0.04327227038,38.94916425,71156.95689,0.8892664337,78.38595078,268.195863,20844.64606,3.565264133,0.01338510741,0.01560785735,1.1944616,0.0002347422216,1
0.5601466485,0.4966646035,8.184400617,16.47872741,16.10256924,16.38297116,12.444,18.93605798,653.0355,9.230503933,0.6444811905,564.8048339,0.8648914705,666.4311,47,99,5762579,1.821648949,29,2.828463233,141,16.35880306,73.3839196,74,20,121,11.99969214,76.10214638,0.146544419,3859660.163,0.3255039014,406.3370279,12.41955182,11.69944449,-0.05521353761,2.129005522,0.5525306889,0.5836969469,0.499201866,1.118255589,0.2935041313,0.7592367568,0.7557319493,0.9852867537,0.9296353459,-0.1987959164,0.6855564338,0.4530155926,3.467725255,0.1456653321,3.144194502,0.5981414038,0.2411268142,6.93545051,2.536499989,0.6703840528,4.789473684,0.2520775623,1.983379501,9.473684211,16440.57895,204932.7895,1509.636404,0.2929532164,5,0.2631578947,0.5131804028,2.875973178,0.2317430033,3.386636567,0.01909547739,13698.12742,182.360476,0.3024473035,0.846326555,12.64743375,4.338774789,55.01278016,0.4335494019,0.110551899,3.446700811,281.3821933,0.445002529,0.60618477,1.223399195,0.6700312919,8.418630057,0.07790079686,5.844720507,57.66532663,0.05795510214,22.61012197,323.8763819,0.7367026085,12.69648241,148.9296482,1896.312563,14.14819542,0.1051010609,0.02751862301,0.2766357092,0.006540904578,6
0.5766051482,0.4876552295,32.70008132,67.05573804,55.01091386,73.09698204,63.71213285,74.28206308,20628.55394,38.66468377,0.2316903791,15699.60218,0.7610616925,20737.29168,40,98,183729590,2.063502381,29,7.169044422,332,18.99486125,69.77272178,72,-76,408,12.24958082,74.5078101,-0.8476954323,115121286.5,0.2994346524,683.1810616,54.9782893,77.40027399,-5.467221316,3.472947217,0.7943420925,0.6204482937,0.5943232404,1.310767401,0.4187167581,0.7327761243,0.7225341541,0.9975730669,0.9692346661,-0.1955305028,0.6918618597,0.4492790308,7.369367095,0.1256181666,3.625114848,0.6679881476,0.2149840811,14.73873419,2.819441917,1.066822327,127.2265276,0.1896073436,4.091755304,56.31445604,448050.9449,25073673.49,8204.371056,0.02699467418,124.5081967,0.1855561799,0.4278568513,24.8320773,0.01206439971,5.852324439,0.0202743534,445618.1473,5567.228477,0.2701744268,1.406511186,54.08401822,4.740437668,260.2492037,0.09551128561,0.02167365735,3.722927492,10424.6688,0.4766344275,0.6221504807,1.571839848,0.6973336145,37.28266775,0.01569573192,6.262333534,1782.803964,0.05386765664,26.64255008,9910.089255,1.175704058,54.58850012,143.8034204,8047.444434,2.723816796,0.02087907299,0.02945697265,1.583162742,0.0007511467282,1
0.5105160545,0.4495292511,12.89388676,28.68308731,37.77362704,28.07723092,19.93746102,37.87963997,3226.26042,14.64317656,0.5692854011,1854.757024,0.5748937726,3256.96284,66,111,42916039,1.698938654,22,4.194685563,169,14.13296609,88.95017314,89,6,163,9.531618652,90.86396375,-0.09364343994,26890331.72,0.3809420144,344.1266054,17.67661762,13.0613461,0.3792476497,1.758378617,0.5297960513,0.5324278563,0.4720319182,1.122441408,0.2990763468,0.7734845115,0.769757845,0.9895407696,0.9417939932,-0.1658372615,0.6162555651,0.4226683053,4.167557826,0.1922638369,2.981600081,0.5549779541,0.3658854264,8.335115651,2.390333826,0.5720436671,24.34042553,0.2589406971,1.950769579,12.4787234,101868.6809,1738084.84,6197.162043,0.1762218363,16.59574468,0.1765504753,0.4200164774,3.55176382,0.09718176838,4.883043465,0.01808387841,98810.82617,877.6675575,0.3150043196,0.8330574597,17.01165967,6.100074369,105.857108,0.3961675865,0.0771278667,3.682197714,1128.989655,0.3905027361,0.5349394738,2.174747232,0.6303727404,10.50844694,0.05296586819,5.910149408,246.1819931,0.04736090671,32.46718179,1980.136591,0.6327402169,17.24644094,203.8564833,3562.263755,12.57773049,0.07064025257,0.02209193431,0.2904716981,0.003247181807,6
