original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,Label
-3,40,10452859,1.697792636,22,8.533488825,104,14.26456974,18.0254676,19,-130,234,9.240908203,26.85952573,-1.3257149,6130928.455,0.38084614,396.5166404,Benign
-1,64,42162511,2.172970234,31,25.11601533,492,20.94592364,28.67950555,25,-135,627,13.13122023,41.54249841,2.203414565,37275928.68,0.282524048,903.2651356,Benign
16,71,20111759,1.914465711,25,10.57552786,230,17.90643857,41.10968728,36,-25,255,10.83774867,48.62530505,2.068375814,13990644.59,0.345120627,674.4139033,Benign
10,65,35787721,1.958891966,27,4.070130375,132,17.35316741,36.19723695,35,-83,215,11.61856027,42.7131691,0.194879457,31639968.87,0.314045565,514.1748517,Benign
-21,49,20993913,2.309851629,34,4.788726547,183,22.49884753,16.36724468,19,-106,289,14.42494713,34.37959559,-0.260681981,14604310.61,0.253006527,914.0698943,Benign
-3,32,51685675,1.439710646,16,36.47144112,347,11.70131568,14.16832183,13,-470,817,7.298166751,22.19461811,0.250493678,45695369.87,0.492173803,291.8597296,Benign
-1,49,18255796,1.863311457,26,4.451321109,128,16.06731686,23.88470091,24,-107,235,10.76262883,31.8572987,-0.114828439,16139972.06,0.333018129,444.4085429,Benign
11,63,40466128,1.933012188,24,17.3063407,391,16.84387486,37.36675202,38,-90,481,10.40175002,44.63877296,0.507138139,33351373.38,0.343180967,596.3458948,Benign
11,53,25136859,1.645771501,21,10.24028472,109,13.60655571,32.09803171,33,-168,277,9.127845197,37.07222496,-1.063596551,22223528.46,0.397712972,344.0662236,Benign
24,69,32417640,1.727774963,23,8.080180387,118,14.59085321,46.04331962,47,-125,243,9.694447024,50.16674316,-1.082909014,28660476.05,0.366205364,396.714838,Benign
10,62,30456588,1.991743421,25,49.15541657,131,18.26578949,34.3902439,37,-505,636,10.65880178,45.67974774,-4.282405689,17863740.63,0.335141758,903.9504776,Benign
-28,35,10930326,2.126749822,32,4.157254007,94,20.02293945,3.477101889,5,-119,213,13.69358441,26.27618937,-0.456005016,7644451.398,0.277102616,678.3478902,Benign
-1,44,31235003,1.774763666,23,5.455940661,123,14.78448812,20.57251929,20,-102,225,9.467239435,28.82601532,-0.193405166,27614905.2,0.365918791,407.7106095,Benign
-2,39,20380842,1.534642322,18,6.04626461,165,13.00298702,16.66248834,14,-67,232,8.164691344,24.37466633,1.144176001,15065543.88,0.454201528,316.485841,Benign
-6,40,6706360,1.735515084,24,3.918896599,107,14.68176131,16.38012026,16,-74,181,10.06001703,25.10099854,0.086307394,5929101.259,0.365586341,361.7517882,Benign
11,62,52906230,1.835477255,26,4.0063354,143,16.36406311,35.4607717,34,-45,188,11.142564,41.24518095,0.700171972,37497885.71,0.332629541,443.6986219,Benign
-11,36,55658791,1.846150907,23,7.64500854,100,15.81654788,11.31890424,13,-177,277,9.585927474,25.46640073,-1.144642121,42220045.49,0.370676577,520.4199728,Benign
13,89,45096372,2.307380519,36,4.27811354,254,23.28180175,47.77152552,44,-69,323,15.73161882,56.46170327,0.677962192,26450431.44,0.245385867,905.8052856,Benign
1,50,21843017,1.806713098,24,5.655616867,106,15.49490743,23.72886987,22,-155,261,10.20831156,31.53053936,0.030575093,13570656.91,0.352757411,431.1156469,Benign
-2,70,67172427,2.420743396,36,12.00466482,471,24.33635348,33.5113218,34,-184,655,15.07952309,48.29970963,0.471272639,59387226.68,0.24181207,1209.853261,Benign
-3,42,81339821,1.778904829,21,231.1919543,158,16.22173475,16.77254273,16,-882,1040,9.102101698,39.65569399,-11.549669,71912637.42,0.399579464,1291.255877,Benign
5,86,86305345,2.471394528,40,6.071461637,289,25.41046215,43.93028268,42,-166,455,16.74467586,55.67707754,0.541739875,66141072.08,0.225968624,1170.067227,Benign
-19,37,83104295,2.057102045,25,126.6581877,103,22.15293871,8.025184676,15,-933,1036,11.04367598,53.43526075,-9.514134741,73472611.09,0.324669952,2790.923502,Benign
